message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,payment,Transactional status or delivery update from verified business.,0.95,message_0102;message_0243
msg_091,mute,scam,Detected high risk of scam or phishing (domain mismatch or security code solicitations).,0.98,message_0238;message_0381
msg_090,digest,unknown,"Unclassified message details, defaulting based on context type.",0.8,message_0338;message_0339
msg_048,mute,scam,Detected high risk of scam or phishing (domain mismatch or security code solicitations).,0.98,message_0151;message_0237
msg_040,mute,greeting,Message flagged as spam or chain message (high forward count or spam vocabulary).,0.95,message_0135;message_0136
msg_075,notify,business_update,Transactional status or delivery update from verified business.,0.95,message_0205;message_0206
msg_005,digest,promotion,"Unclassified message details, defaulting based on context type.",0.8,message_0065;message_0066
msg_104,mute,spam,Muted due to prior reports or extremely low sender trust.,0.95,message_0232;message_0383
msg_069,mute,greeting,Message flagged as spam or chain message (high forward count or spam vocabulary).,0.95,message_0177;message_0193
msg_107,notify,urgent,Urgent personal message from trusted contact.,0.89,message_0056;message_0235
msg_070,mute,scam,Detected high risk of scam or phishing (domain mismatch or security code solicitations).,0.95,message_0195;message_0213
msg_003,notify,business_update,Transactional status or delivery update from verified business.,0.95,message_0031;message_0400
msg_099,notify,urgent,Urgent personal message from trusted contact.,0.94,message_0055;message_0249
msg_008,digest,business_update,"Unclassified message details, defaulting based on context type.",0.8,message_0072;message_0296
msg_092,mute,promotion,Promotional message muted to prevent notification fatigue.,0.85,message_0346;message_0385
msg_060,digest,promotion,"Unclassified message details, defaulting based on context type.",0.72,message_0176;message_0284
msg_004,notify,event,Transactional status or delivery update from verified business.,0.95,message_0064;message_0245
msg_030,mute,promotion,Message suppressed because the containing group is muted by the user.,1.0,message_0115;message_0335
msg_045,notify,promotion,"Unclassified message details, defaulting based on context type.",0.85,message_0145;message_0146
msg_052,mute,scam,Detected high risk of scam or phishing (domain mismatch or security code solicitations).,0.95,message_0207;message_0208
msg_009,mute,personal,Message suppressed because the containing group is muted by the user.,0.95,message_0032;message_0074
msg_071,digest,personal,"Unclassified message details, defaulting based on context type.",0.8,message_0197;message_0198
msg_016,digest,urgent,"Unclassified message details, defaulting based on context type.",0.85,message_0024;message_0201
msg_065,mute,promotion,Promotional message muted to prevent notification fatigue.,0.85,message_0185;message_0261
msg_038,mute,forward,Message flagged as spam or chain message (high forward count or spam vocabulary).,0.95,message_0131;message_0132
msg_086,digest,business_update,"Unclassified message details, defaulting based on context type.",0.72,message_0144;message_0222
msg_014,mute,promotion,Promotional message muted because the user has opted out.,0.97,message_0084;message_0258
msg_094,mute,promotion,Promotional message muted to prevent notification fatigue.,0.85,message_0356;message_0357
msg_029,digest,forward,"Unclassified message details, defaulting based on context type.",0.8,message_0095;message_0332
msg_105,mute,spam,Muted due to prior reports or extremely low sender trust.,0.95,message_0233;message_0373
msg_002,notify,payment,Direct mention in group chat from a trusted contact.,0.95,message_0169;message_0266
msg_010,digest,business_update,"Unclassified message details, defaulting based on context type.",0.8,message_0075;message_0242
msg_078,mute,forward,Message suppressed because the containing group is muted by the user.,1.0,message_0211;message_0212
msg_013,digest,promotion,"Unclassified message details, defaulting based on context type.",0.85,message_0081;message_0082
msg_018,digest,forward,"Unclassified message details, defaulting based on context type.",0.85,message_0026;message_0092
msg_044,digest,urgent,"Unclassified message details, defaulting based on context type.",0.85,message_0143;message_0144
msg_032,digest,personal,"Unclassified message details, defaulting based on context type.",0.8,message_0160;message_0285
msg_106,notify,personal,Personal message from trusted contact.,0.85,message_0234;message_0376
msg_006,digest,promotion,"Unclassified message details, defaulting based on context type.",0.72,message_0044;message_0271
msg_109,digest,payment,"Unclassified message details, defaulting based on context type.",0.85,message_0151;message_0237
msg_108,mute,scam,Detected high risk of scam or phishing (domain mismatch or security code solicitations).,0.95,message_0093;message_0094
